4/5/25, 2:33 PM
Project Statistics

                 	Segments	 Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	   22817	189117	                1174322	               1339416	   420	
Remaining:       	   21928	183953	                1140652	               1301422	   398	
Unique:          	   17753	172251	                1053352	               1206241	   420	
Unique Remaining:	   17097	167726	                1023507	               1172476	   398	


Individual File Statistics:

File Name                                                                                    	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
contributors/contribution-workflow/github-pull-request-guidelines.md                         	            69	                 0	             69	                        0	        666	              0	         666	                     0	                         4360	                                0	                          4360	                                       0	                        4961	                               0	                         4961	                                      0	
contributors/contribution-workflow/index.md                                                  	            61	                 0	             61	                        0	        638	              0	         638	                     0	                         3649	                                0	                          3649	                                       0	                        4217	                               0	                         4217	                                      0	
contributors/contribution-workflow/xml-comments-and-docs.md                                  	            24	                 0	             24	                        0	        381	              0	         381	                     0	                         2400	                                0	                          2400	                                       0	                        2755	                               0	                         2755	                                      0	
contributors/core-team.md                                                                    	            85	                 0	             69	                        0	        215	              0	         196	                     0	                         1583	                                0	                          1442	                                       0	                        1714	                               0	                         1570	                                      0	
contributors/documentation/content.md                                                        	           102	                 0	             99	                        0	       1061	              0	        1049	                     0	                         6269	                                0	                          6195	                                       0	                        7223	                               0	                         7140	                                      0	
contributors/documentation/deployment-azure.md                                               	           107	               107	            103	                      103	       1021	           1021	        1013	                  1013	                         6519	                             6519	                          6447	                                    6447	                        7435	                            7435	                         7359	                                   7359	
contributors/documentation/docfx.md                                                          	            70	                70	             70	                       70	        622	            622	         622	                   622	                         4345	                             4345	                          4345	                                    4345	                        4880	                            4880	                         4880	                                   4880	
contributors/documentation/documentation-generation-pipeline.md                              	           118	               115	            114	                      114	        779	            767	         766	                   766	                         5221	                             5153	                          5150	                                    5150	                        5867	                            5792	                         5789	                                   5789	
contributors/documentation/index.md                                                          	            35	                35	             35	                       35	        362	            362	         362	                   362	                         2221	                             2221	                          2221	                                    2221	                        2532	                            2532	                         2532	                                   2532	
contributors/documentation/installation.md                                                   	            51	                51	             50	                       50	        522	            522	         521	                   521	                         2948	                             2948	                          2935	                                    2935	                        3422	                            3422	                         3409	                                   3409	
contributors/documentation/major-release-workflow.md                                         	            36	                36	             33	                       33	        322	            322	         310	                   310	                         2292	                             2292	                          2214	                                    2214	                        2559	                            2559	                         2472	                                   2472	
contributors/documentation/new-language.md                                                   	             4	                 4	              4	                        4	         23	             23	          23	                    23	                          118	                              118	                           118	                                     118	                         137	                             137	                          137	                                    137	
contributors/documentation/roadmap.md                                                        	             6	                 6	              6	                        6	         84	             84	          84	                    84	                          575	                              575	                           575	                                     575	                         653	                             653	                          653	                                    653	
contributors/documentation/troubleshooting-and-faq.md                                        	            14	                14	             14	                       14	        111	            111	         111	                   111	                          579	                              579	                           579	                                     579	                         676	                             676	                          676	                                    676	
contributors/donate.md                                                                       	            11	                10	             10	                       10	        128	            127	         127	                   127	                          735	                              727	                           727	                                     727	                         851	                             843	                          843	                                    843	
contributors/engine/architecture/build-details.md                                            	            54	                54	             52	                       52	        655	            655	         653	                   653	                         4048	                             4048	                          4025	                                    4025	                        4642	                            4642	                         4619	                                   4619	
contributors/engine/architecture/copy-paste.md                                               	           199	               199	            195	                      195	       1838	           1838	        1826	                  1826	                        11757	                            11757	                         11640	                                   11640	                       13371	                           13371	                        13245	                                  13245	
contributors/engine/architecture/dependency-graph.md                                         	            12	                12	             10	                       10	         17	             17	          15	                    15	                          173	                              173	                           139	                                     139	                         182	                             182	                          147	                                    147	
contributors/engine/architecture/index.md                                                    	            11	                11	             11	                       11	        113	            113	         113	                   113	                          670	                              670	                           670	                                     670	                         772	                             772	                          772	                                    772	
contributors/engine/bug-bounties.md                                                          	            17	                17	             17	                       17	        244	            244	         244	                   244	                         1266	                             1266	                          1266	                                    1266	                        1491	                            1491	                         1491	                                   1491	
contributors/engine/building-source-linux.md                                                 	            30	                30	             29	                       29	        425	            425	         424	                   424	                         2499	                             2499	                          2486	                                    2486	                        2885	                            2885	                         2872	                                   2872	
contributors/engine/building-source-windows-other-ide.md                                     	            11	                11	             10	                       10	        139	            139	         138	                   138	                          816	                              816	                           802	                                     802	                         933	                             933	                          919	                                    919	
contributors/engine/building-source-windows.md                                               	            42	                42	             32	                       32	        566	            566	         399	                   399	                         3346	                             3346	                          2431	                                    2431	                        3857	                            3857	                         2791	                                   2791	
contributors/engine/contribute-code.md                                                       	            18	                18	             18	                       18	        233	            233	         233	                   233	                         1119	                             1119	                          1119	                                    1119	                        1334	                            1334	                         1334	                                   1334	
contributors/engine/hot-reloading-shaders.md                                                 	             4	                 4	              4	                        4	        137	            137	         137	                   137	                          773	                              773	                           773	                                     773	                         893	                             893	                          893	                                    893	
contributors/engine/index.md                                                                 	            23	                23	             19	                       19	        137	            137	         114	                   114	                          853	                              853	                           699	                                     699	                         968	                             968	                          795	                                    795	
contributors/engine/localization.md                                                          	             6	                 6	              6	                        6	         81	             81	          81	                    81	                          460	                              460	                           460	                                     460	                         527	                             527	                          527	                                    527	
contributors/engine/source-debugging.md                                                      	            16	                16	             16	                       16	        176	            176	         176	                   176	                         1026	                             1026	                          1026	                                    1026	                        1186	                            1186	                         1186	                                   1186	
contributors/engine/static-analysis.md                                                       	            11	                11	             11	                       11	        151	            151	         151	                   151	                          845	                              845	                           845	                                     845	                         989	                             989	                          989	                                    989	
contributors/engine/visual-studio-plugin.md                                                  	            16	                16	             11	                       11	        150	            150	         144	                   144	                          931	                              931	                           867	                                     867	                        1060	                            1060	                          993	                                    993	
contributors/index.md                                                                        	            35	                35	             35	                       35	        377	            377	         377	                   377	                         2115	                             2115	                          2115	                                    2115	                        2464	                            2464	                         2464	                                   2464	
contributors/major-release-workflow.md                                                       	            10	                10	             10	                       10	         80	             80	          80	                    80	                          477	                              477	                           477	                                     477	                         548	                             548	                          548	                                    548	
contributors/roadmap.md                                                                      	            21	                21	             20	                       20	        242	            242	         240	                   240	                         1493	                             1493	                          1479	                                    1479	                        1713	                            1713	                         1698	                                   1698	
contributors/website/content-shortcodes-and-includes.md                                      	            72	                70	             64	                       64	        770	            766	         731	                   731	                         4422	                             4393	                          4194	                                    4194	                        5063	                            5032	                         4804	                                   4804	
contributors/website/content.md                                                              	           120	                86	             85	                       85	       1337	            992	         991	                   991	                         7643	                             5661	                          5656	                                    5656	                        8826	                            6535	                         6530	                                   6530	
contributors/website/deployment-azure.md                                                     	           103	               103	             16	                       16	        985	            985	         209	                   209	                         6257	                             6257	                          1577	                                    1577	                        7144	                            7144	                         1762	                                   1762	
contributors/website/deployment.md                                                           	            58	                58	             56	                       56	        549	            549	         521	                   521	                         3372	                             3372	                          3168	                                    3168	                        3861	                            3861	                         3629	                                   3629	
contributors/website/eleventy.md                                                             	           110	               110	            101	                      101	        985	            985	         972	                   972	                         6348	                             6348	                          6248	                                    6248	                        7270	                            7270	                         7166	                                   7166	
contributors/website/figma.md                                                                	             9	                 9	              9	                        9	         87	             87	          87	                    87	                          601	                              601	                           601	                                     601	                         679	                             679	                          679	                                    679	
contributors/website/index.md                                                                	            29	                29	             15	                       15	        305	            305	         165	                   165	                         1848	                             1848	                          1010	                                    1010	                        2115	                            2115	                         1156	                                   1156	
contributors/website/installation.md                                                         	            43	                43	             28	                       28	        523	            523	         373	                   373	                         3052	                             3052	                          2210	                                    2210	                        3540	                            3540	                         2562	                                   2562	
contributors/website/major-release-workflow.md                                               	            15	                15	             11	                       11	        152	            152	         115	                   115	                          959	                              959	                           691	                                     691	                        1096	                            1096	                          794	                                    794	
contributors/website/roadmap.md                                                              	             7	                 7	              5	                        5	         69	             69	          43	                    43	                          445	                              445	                           256	                                     256	                         507	                             507	                          294	                                    294	
contributors/website/troubleshooting-and-faq.md                                              	            16	                16	              7	                        7	        220	            220	         143	                   143	                         1145	                             1145	                           772	                                     772	                        1347	                            1347	                          906	                                    906	
diagnostics/index.md                                                                         	            21	                21	             21	                       21	        226	            226	         226	                   226	                         1428	                             1428	                          1428	                                    1428	                        1629	                            1629	                         1629	                                   1629	
diagnostics/STRDIAG000.md                                                                    	            31	                31	             25	                       25	        180	            180	         174	                   174	                         1460	                             1460	                          1368	                                    1368	                        1610	                            1610	                         1518	                                   1518	
diagnostics/STRDIAG001.md                                                                    	            17	                17	             13	                       13	         87	             87	          83	                    83	                          666	                              666	                           615	                                     615	                         732	                             732	                          681	                                    681	
diagnostics/STRDIAG002.md                                                                    	            16	                16	             12	                       12	        106	            106	          97	                    97	                          748	                              748	                           669	                                     669	                         837	                             837	                          752	                                    752	
diagnostics/STRDIAG003.md                                                                    	            18	                18	             12	                       12	        121	            121	         115	                   115	                          932	                              932	                           870	                                     870	                        1030	                            1030	                          968	                                    968	
diagnostics/STRDIAG004.md                                                                    	            37	                37	             25	                       25	        259	            259	         236	                   236	                         1692	                             1692	                          1495	                                    1495	                        1926	                            1926	                         1716	                                   1716	
diagnostics/STRDIAG005.md                                                                    	            17	                17	             12	                       12	        120	            120	         115	                   115	                          811	                              811	                           761	                                     761	                         915	                             915	                          865	                                    865	
diagnostics/STRDIAG006.md                                                                    	            32	                32	             21	                       21	        189	            189	         163	                   163	                         1485	                             1485	                          1181	                                    1181	                        1642	                            1642	                         1328	                                   1328	
diagnostics/STRDIAG007.md                                                                    	            17	                17	             10	                       10	         73	             73	          64	                    64	                          555	                              555	                           460	                                     460	                         612	                             612	                          515	                                    515	
diagnostics/STRDIAG008.md                                                                    	            14	                14	              7	                        7	         68	             68	          53	                    53	                          499	                              499	                           354	                                     354	                         551	                             551	                          398	                                    398	
diagnostics/STRDIAG009.md                                                                    	            23	                23	             15	                       15	        146	            146	         138	                   138	                          944	                              944	                           850	                                     850	                        1062	                            1062	                          968	                                    968	
diagnostics/STRDIAG010.md                                                                    	            29	                29	             20	                       20	        159	            159	         154	                   154	                         1080	                             1080	                          1016	                                    1016	                        1215	                            1215	                         1151	                                   1151	
diagnostics/toc.md                                                                           	            11	                11	             11	                       11	         11	             11	          11	                    11	                          210	                              210	                           210	                                     210	                         210	                             210	                          210	                                    210	
examples/Stride.Utilities-examples.md                                                        	             3	                 3	              3	                        3	         36	             36	          36	                    36	                          238	                              238	                           238	                                     238	                         271	                             271	                          271	                                    271	
examples/Stride.Utilities-remarks.md                                                         	             7	                 7	              7	                        7	         91	             91	          91	                    91	                          494	                              494	                           494	                                     494	                         577	                             577	                          577	                                    577	
includes/bullet-physics-deprecation.md                                                       	             3	                 3	              3	                        3	         39	             39	          39	                    39	                          216	                              216	                           216	                                     216	                         251	                             251	                          251	                                    251	
includes/docs-prerequisites.md                                                               	             9	                 9	              9	                        9	        138	            138	         138	                   138	                          765	                              765	                           765	                                     765	                         894	                             894	                          894	                                    894	
includes/game-studio-xenko-note.md                                                           	             2	                 2	              2	                        2	         23	             23	          23	                    23	                          122	                              122	                           122	                                     122	                         142	                             142	                          142	                                    142	
includes/small-update-instructions.md                                                        	             9	                 9	              9	                        9	         86	             86	          86	                    86	                          447	                              447	                           447	                                     447	                         524	                             524	                          524	                                    524	
includes/submitting-changes.md                                                               	            11	                11	             11	                       11	        135	            135	         135	                   135	                          709	                              709	                           709	                                     709	                         833	                             833	                          833	                                    833	
includes/under-construction-note.md                                                          	             1	                 1	              1	                        1	          6	              6	           6	                     6	                           55	                               55	                            55	                                      55	                          59	                              59	                           59	                                     59	
index.md                                                                                     	            39	                39	             39	                       39	        329	            329	         329	                   329	                         2092	                             2092	                          2092	                                    2092	                        2389	                            2389	                         2389	                                   2389	
manual/animation/additive-animation.md                                                       	            93	                93	             90	                       90	        888	            888	         882	                   882	                         5455	                             5455	                          5388	                                    5388	                        6250	                            6250	                         6180	                                   6180	
manual/animation/animation-properties.md                                                     	            62	                62	             54	                       54	        630	            630	         612	                   612	                         3510	                             3510	                          3327	                                    3327	                        4073	                            4073	                         3880	                                   3880	
manual/animation/animation-scripts.md                                                        	            86	                86	             61	                       61	        412	            412	         387	                   387	                         2924	                             2924	                          2648	                                    2648	                        3265	                            3265	                         2975	                                   2975	
manual/animation/custom-attributes.md                                                        	            66	                66	             46	                       46	        259	            259	         237	                   237	                         2162	                             2162	                          1964	                                    1964	                        2373	                            2373	                         2161	                                   2161	
manual/animation/custom-blend-trees.md                                                       	            84	                84	             62	                       62	        546	            546	         513	                   513	                         4293	                             4293	                          3959	                                    3959	                        4798	                            4798	                         4445	                                   4445	
manual/animation/import-animations.md                                                        	            47	                47	             30	                       30	        357	            357	         316	                   316	                         2299	                             2299	                          1887	                                    1887	                        2605	                            2605	                         2170	                                   2170	
